"filename", "language", "TypeScript", "JSON", "JSON with Comments", "vue", "PostCSS", "XML", "JavaScript", "HTML", "Batch", "PowerShell", "Properties", "YAML", "Java", "MS SQL", "comment", "blank", "total"
"d:\AAAAAAAAAAA\TestA\backend\.idea\compiler.xml", "XML", 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19
"d:\AAAAAAAAAAA\TestA\backend\.idea\encodings.xml", "XML", 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6
"d:\AAAAAAAAAAA\TestA\backend\.idea\jarRepositories.xml", "XML", 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20
"d:\AAAAAAAAAAA\TestA\backend\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12
"d:\AAAAAAAAAAA\TestA\backend\init_db.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, -1, -3
"d:\AAAAAAAAAAA\TestA\backend\init_db.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, -1, -3
"d:\AAAAAAAAAAA\TestA\backend\init_db.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, -233, 0, 0, 0, 0, -1, -14, -248
"d:\AAAAAAAAAAA\TestA\backend\init_db_final.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, -3, -4, -23
"d:\AAAAAAAAAAA\TestA\backend\init_db_interactive.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, -237, 0, 0, 0, 0, -4, -18, -259
"d:\AAAAAAAAAAA\TestA\backend\init_db_simple.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, -1, -5
"d:\AAAAAAAAAAA\TestA\backend\init_db_simple.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, -1, -1, -4
"d:\AAAAAAAAAAA\TestA\backend\pom.xml", "XML", 0, 0, 0, 0, 0, -75, 0, 0, 0, 0, 0, 0, 0, 0, -1, -14, -90
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\CampusLearningSpaceApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -5, -19
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\common\ReservationRuleException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, -3, -3, -12
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\common\Result.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, -7, -37
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\config\CorsConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, -4, -20
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\config\GlobalExceptionHandler.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -4, -19
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\config\MyBatisConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -5, -18
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\config\MyMetaObjectHandler.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21, 0, 0, -6, -27
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\config\ReservationProperties.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, -6, -5, -20
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\config\WebSocketConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, -4, -22
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\AdminAuthController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -101, 0, 0, -20, -121
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\AdminBuildingController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -160, 0, -1, -22, -183
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\AdminClassroomController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -160, 0, -2, -25, -187
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\AdminCourseController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -169, 0, -1, -23, -193
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\AdminMarketAuditController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -62, 0, 0, -11, -73
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\AdminRepairController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -109, 0, -4, -18, -131
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\AdminReservationLimitController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -45, 0, 0, -8, -53
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\AdminReviewController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -85, 0, 0, -13, -98
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\AdminScanDeviceController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -82, 0, -11, -19, -112
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\BuildingController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -34, 0, 0, -10, -44
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\ClassroomController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -48, 0, -3, -13, -64
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\ClassroomFeedbackController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -290, 0, -20, -59, -369
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\LibraryController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, -7, -25
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\LibrarySeatController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, -7, -26
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\RepairController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -68, 0, -1, -10, -79
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\ReservationController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, 0, -23, -18, -124
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\ResourceMarketController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -78, 0, 0, -16, -94
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\ReviewController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -45, 0, 0, -11, -56
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\ScanDeviceAuthorizeController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -37, 0, -4, -11, -52
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\StudyPlanController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -52, 0, -5, -14, -71
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\TeamChatController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -154, 0, 0, -12, -166
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\controller\TeamController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -148, 0, -28, -25, -201
